Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
93,5.8,2.6,4.0,1.2
49,5.3,3.7,1.5,0.2
98,6.2,2.9,4.3,1.3
31,4.8,3.1,1.6,0.2
125,6.7,3.3,5.7,2.1
14,4.3,3.0,1.1,0.1
15,5.8,4.0,1.2,0.2
72,6.1,2.8,4.0,1.3
27,5.0,3.4,1.6,0.4
134,6.3,2.8,5.1,1.5
6,5.4,3.9,1.7,0.4
126,7.2,3.2,6.0,1.8
139,6.0,3.0,4.8,1.8
107,4.9,2.5,4.5,1.7
65,5.6,2.9,3.6,1.3
13,4.8,3.0,1.4,0.1
100,5.7,2.8,4.1,1.3
118,7.7,3.8,6.7,2.2
8,5.0,3.4,1.5,0.2
121,6.9,3.2,5.7,2.3
23,4.6,3.6,1.0,0.2
144,6.8,3.2,5.9,2.3
88,6.3,2.3,4.4,1.3
82,5.5,2.4,3.7,1.0
59,6.6,2.9,4.6,1.3
22,5.1,3.7,1.5,0.4
96,5.7,3.0,4.2,1.2
47,5.1,3.8,1.6,0.2
30,4.7,3.2,1.6,0.2
90,5.5,2.5,4.0,1.3
95,5.6,2.7,4.2,1.3
79,6.0,2.9,4.5,1.5
111,6.5,3.2,5.1,2.0
25,4.8,3.4,1.9,0.2
17,5.4,3.9,1.3,0.4
5,5.0,3.6,1.4,0.2
48,4.6,3.2,1.4,0.2
141,6.7,3.1,5.6,2.4
26,5.0,3.0,1.6,0.2
43,4.4,3.2,1.3,0.2
70,5.6,2.5,3.9,1.1
109,6.7,2.5,5.8,1.8
55,6.5,2.8,4.6,1.5
56,5.7,2.8,4.5,1.3
89,5.6,3.0,4.1,1.3
150,5.9,3.0,5.1,1.8
110,7.2,3.6,6.1,2.5
99,5.1,2.5,3.0,1.1
20,5.1,3.8,1.5,0.3
2,4.9,3.0,1.4,0.2
145,6.7,3.3,5.7,2.5
12,4.8,3.4,1.6,0.2
52,6.4,3.2,4.5,1.5
142,6.9,3.1,5.1,2.3
87,6.7,3.1,4.7,1.5
138,6.4,3.1,5.5,1.8
148,6.5,3.0,5.2,2.0
11,5.4,3.7,1.5,0.2
9,4.4,2.9,1.4,0.2
21,5.4,3.4,1.7,0.2
123,7.7,2.8,6.7,2.0
61,5.0,2.0,3.5,1.0
76,6.6,3.0,4.4,1.4
38,4.9,3.1,1.5,0.1
135,6.1,2.6,5.6,1.4
40,5.1,3.4,1.5,0.2
66,6.7,3.1,4.4,1.4
92,6.1,3.0,4.6,1.4
45,5.1,3.8,1.9,0.4
10,4.9,3.1,1.5,0.1
18,5.1,3.5,1.4,0.3
137,6.3,3.4,5.6,2.4
35,4.9,3.1,1.5,0.1
75,6.4,2.9,4.3,1.3
116,6.4,3.2,5.3,2.3
119,7.7,2.6,6.9,2.3
127,6.2,2.8,4.8,1.8
112,6.4,2.7,5.3,1.9
129,6.4,2.8,5.6,2.1
37,5.5,3.5,1.3,0.2
39,4.4,3.0,1.3,0.2
50,5.0,3.3,1.4,0.2
94,5.0,2.3,3.3,1.0
140,6.9,3.1,5.4,2.1
97,5.7,2.9,4.2,1.3
28,5.2,3.5,1.5,0.2
86,6.0,3.4,4.5,1.6
83,5.8,2.7,3.9,1.2
44,5.0,3.5,1.6,0.6
80,5.7,2.6,3.5,1.0
51,7.0,3.2,4.7,1.4
149,6.2,3.4,5.4,2.3
77,6.8,2.8,4.8,1.4
146,6.7,3.0,5.2,2.3
3,4.7,3.2,1.3,0.2
53,6.9,3.1,4.9,1.5
64,6.1,2.9,4.7,1.4
81,5.5,2.4,3.8,1.1
29,5.2,3.4,1.4,0.2
114,5.7,2.5,5.0,2.0
36,5.0,3.2,1.2,0.2
101,6.3,3.3,6.0,2.5
54,5.5,2.3,4.0,1.3
67,5.6,3.0,4.5,1.5
71,5.9,3.2,4.8,1.8
42,4.5,2.3,1.3,0.3
63,6.0,2.2,4.0,1.0
34,5.5,4.2,1.4,0.2
133,6.4,2.8,5.6,2.2
24,5.1,3.3,1.7,0.5
104,6.3,2.9,5.6,1.8
57,6.3,3.3,4.7,1.6
113,6.8,3.0,5.5,2.1
124,6.3,2.7,4.9,1.8
78,6.7,3.0,5.0,1.7
128,6.1,3.0,4.9,1.8
69,6.2,2.2,4.5,1.5
105,6.5,3.0,5.8,2.2
46,4.8,3.0,1.4,0.3
32,5.4,3.4,1.5,0.4
