Respondent|Hobby|OpenSource|Country|Student|Employment|FormalEducation|UndergradMajor|CompanySize|DevType|YearsCoding|YearsCodingProf|JobSatisfaction|CareerSatisfaction|HopeFiveYears|JobSearchStatus|LastNewJob|AssessJob1|AssessJob2|AssessJob3|AssessJob4|AssessJob5|AssessJob6|AssessJob7|AssessJob8|AssessJob9|AssessJob10|AssessBenefits1|AssessBenefits2|AssessBenefits3|AssessBenefits4|AssessBenefits5|AssessBenefits6|AssessBenefits7|AssessBenefits8|AssessBenefits9|AssessBenefits10|AssessBenefits11|JobContactPriorities1|JobContactPriorities2|JobContactPriorities3|JobContactPriorities4|JobContactPriorities5|JobEmailPriorities1|JobEmailPriorities2|JobEmailPriorities3|JobEmailPriorities4|JobEmailPriorities5|JobEmailPriorities6|JobEmailPriorities7|UpdateCV|Currency|Salary|SalaryType|ConvertedSalary|CurrencySymbol|CommunicationTools|TimeFullyProductive|EducationTypes|SelfTaughtTypes|TimeAfterBootcamp|HackathonReasons|AgreeDisagree1|AgreeDisagree2|AgreeDisagree3|LanguageWorkedWith|LanguageDesireNextYear|DatabaseWorkedWith|DatabaseDesireNextYear|PlatformWorkedWith|PlatformDesireNextYear|FrameworkWorkedWith|FrameworkDesireNextYear|IDE|OperatingSystem|NumberMonitors|Methodology|VersionControl|CheckInCode|AdBlocker|AdBlockerDisable|AdBlockerReasons|AdsAgreeDisagree1|AdsAgreeDisagree2|AdsAgreeDisagree3|AdsActions|AdsPriorities1|AdsPriorities2|AdsPriorities3|AdsPriorities4|AdsPriorities5|AdsPriorities6|AdsPriorities7|AIDangerous|AIInteresting|AIResponsible|AIFuture|EthicsChoice|EthicsReport|EthicsResponsible|EthicalImplications|StackOverflowRecommend|StackOverflowVisit|StackOverflowHasAccount|StackOverflowParticipate|StackOverflowJobs|StackOverflowDevStory|StackOverflowJobsRecommend|StackOverflowConsiderMember|HypotheticalTools1|HypotheticalTools2|HypotheticalTools3|HypotheticalTools4|HypotheticalTools5|WakeTime|HoursComputer|HoursOutside|SkipMeals|ErgonomicDevices|Exercise|Gender|SexualOrientation|EducationParents|RaceEthnicity|Age|Dependents|MilitaryUS|SurveyTooLong|SurveyEasy
34715|Yes|Yes|Russian Federation|No|Employed full-time|Some college/university study without earning a degree|A humanities discipline (ex. literature, history, philosophy)|5,000 to 9,999 employees|Back-end developer;Front-end developer|3-5 years|3-5 years|Neither satisfied nor dissatisfied|Neither satisfied nor dissatisfied|Working as a founder or co-founder of my own company|I’m not actively looking, but I am open to new opportunities|More than 4 years ago|9.0|7.0|8.0|1.0|2.0|5.0|6.0|3.0|10.0|4.0|1.0|8.0|5.0|9.0|6.0|3.0|4.0|2.0|7.0|11.0|10.0|2.0|1.0|4.0|5.0|3.0|4.0|7.0|6.0|2.0|1.0|5.0|3.0|I had a negative experience or interaction at work|Russian rubles (₽)|95000|Monthly|20172.0|RUB|Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)|Three to six months|Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software|The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system|||Agree|Agree|Agree|Perl;Python;R;SQL;VBA;Visual Basic 6;HTML;CSS|Python;R;SQL;VBA;Visual Basic 6;HTML;CSS|SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)|SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)|Linux|Linux|Django|Django;Torch/PyTorch|Eclipse;Notepad++;PyCharm;RStudio;Sublime Text|Windows|2|Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Scrum||Once a day|Yes|No||Strongly disagree|Strongly disagree|Strongly agree|Stopped going to a website because of their advertising|||||||||Increasing automation of jobs|The developers or the people creating the AI|I'm excited about the possibilities more than worried about the dangers.|Depends on what it is|No|The person who came up with the idea|No|8|Daily or almost daily|Yes|I have never participated in Q&A on Stack Overflow|No, I didn't know that Stack Overflow had a jobs board|No, and I don't know what that is||Yes|Not at all interested|Very interested|Extremely interested|Somewhat interested|Not at all interested|Between 7:01 - 8:00 AM|9 - 12 hours|1 - 2 hours|Never|Ergonomic keyboard or mouse|3 - 4 times per week|Male|Straight or heterosexual|Some college/university study without earning a degree|White or of European descent|25 - 34 years old|No||The survey was too long|Very difficult
71651|Yes|No|United Kingdom|No|Employed full-time|Master’s degree (MA, MS, M.Eng., MBA, etc.)|Computer science, computer engineering, or software engineering|10 to 19 employees|Full-stack developer|12-14 years|6-8 years|Moderately satisfied|Slightly dissatisfied|Working as a founder or co-founder of my own company|I am not interested in new job opportunities|Between 1 and 2 years ago|10.0|8.0|2.0|7.0|4.0|3.0|5.0|1.0|9.0|6.0|1.0|7.0|8.0|10.0|5.0|3.0|9.0|4.0|11.0|2.0|6.0|||||||||||||My job status or other personal status changed|British pounds sterling (£)|50000|Yearly|69452.0|GBP|Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)|Less than a month|Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon|The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow||Because I find it enjoyable|Agree|Disagree|Neither Agree nor Disagree|JavaScript;SQL;HTML;CSS;Bash/Shell|JavaScript;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell|Cassandra;MongoDB;MySQL;PostgreSQL|PostgreSQL|Android;Heroku;iOS;Linux;WordPress;Firebase|Android;AWS;Heroku;iOS;Linux;Raspberry Pi|Angular;Node.js;React|Node.js;React|Android Studio;Vim;Visual Studio Code;Xcode|MacOS|2|Agile;Kanban;Pair programming;Scrum|Git|Multiple times per day|Yes|Yes|The website I was visiting forced me to disable it to access their content|Strongly disagree|Strongly disagree|Strongly agree|Saw an online advertisement and then researched it (without clicking on the ad)|5.0|2.0|3.0|6.0|4.0|1.0|7.0|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|Increasing automation of jobs|A governmental or other regulatory body|I'm excited about the possibilities more than worried about the dangers.|No|Yes, but only within the company|Upper management at the company/organization|Yes|10 (Very Likely)|Daily or almost daily|Yes|Less than once per month or monthly|Yes|No, I have one but it's out of date|8|Yes|Very interested|Somewhat interested|Very interested|Somewhat interested|Extremely interested|Between 7:01 - 8:00 AM|9 - 12 hours|1 - 2 hours|Never|Standing desk|3 - 4 times per week|Male|Straight or heterosexual|Master’s degree (MA, MS, M.Eng., MBA, etc.)|White or of European descent|25 - 34 years old|No||The survey was an appropriate length|Very easy
36155|Yes|Yes|United States|Yes, full-time|Employed part-time|Some college/university study without earning a degree|Computer science, computer engineering, or software engineering|10,000 or more employees|Front-end developer;QA or test developer;Student|3-5 years|3-5 years|Moderately dissatisfied|Slightly satisfied|Working in a different or more specialized technical role than the one I'm in now|I am actively looking for a job|Less than a year ago|7.0|6.0|5.0|3.0|2.0|4.0|1.0|8.0|10.0|9.0|1.0|6.0|3.0|9.0|10.0|4.0|7.0|2.0|11.0|8.0|5.0|2.0|1.0|4.0|5.0|3.0|4.0|7.0|5.0|1.0|2.0|6.0|3.0|My job status or other personal status changed|U.S. dollars ($)|400|Weekly|20000.0|USD|Confluence;Jira;Slack|One to three months|Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow||To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;To help me find new job opportunities;Because I find it enjoyable|Neither Agree nor Disagree|Agree|Disagree|C++;Go;Java;JavaScript;TypeScript;HTML;CSS;Bash/Shell|Java;JavaScript;HTML;CSS;Bash/Shell|MongoDB;Redis|MongoDB;Redis|Amazon Echo;Android;AWS;Google Home;Heroku;Linux;Raspberry Pi|Amazon Echo;AWS;Heroku;Linux;Raspberry Pi|Angular;Node.js;React;TensorFlow|Node.js;React;TensorFlow|IntelliJ;Sublime Text;Visual Studio Code|Windows|2|Agile;Kanban;Scrum|Git|Multiple times per day|Yes|Yes|The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;I wanted to support the website I was visiting by viewing their ads|Somewhat agree|Strongly agree|Strongly agree|Stopped going to a website because of their advertising|1.0|6.0|2.0|3.0|5.0|7.0|4.0|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|Algorithms making important decisions|Nobody|I'm excited about the possibilities more than worried about the dangers.|No|Yes, but only within the company|The person who came up with the idea|Yes|10 (Very Likely)|Multiple times per day|Yes|Less than once per month or monthly|Yes|No, I have one but it's out of date|10 (Very Likely)|Yes|A little bit interested|Not at all interested|Somewhat interested|Very interested|Somewhat interested|Between 6:01 - 7:00 AM|Over 12 hours|1 - 2 hours|1 - 2 times per week|Ergonomic keyboard or mouse|I don't typically exercise|Male|Gay or Lesbian|Bachelor’s degree (BA, BS, B.Eng., etc.)|White or of European descent|18 - 24 years old|No|No|The survey was an appropriate length|Somewhat easy
67686|Yes|No|Canada|No|Employed full-time|Associate degree|Computer science, computer engineering, or software engineering|Fewer than 10 employees|Mobile developer|3-5 years|3-5 years|Extremely satisfied|Extremely satisfied|Working in a different or more specialized technical role than the one I'm in now|I am not interested in new job opportunities|Less than a year ago|10.0|8.0|4.0|5.0|2.0|3.0|7.0|1.0|6.0|9.0|2.0|10.0|9.0|11.0|6.0|5.0|7.0|4.0|3.0|1.0|8.0|||||||||||||My job status or other personal status changed|Canadian dollars (C$)|||||HipChat|One to three months|Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology|||Agree|Strongly agree|Strongly disagree|Java;Objective-C;Swift;Kotlin|JavaScript;Kotlin|MongoDB;MySQL||Android|Android||Node.js|Android Studio;TextMate|MacOS|2|Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies)|Git|Multiple times per day|Yes|Yes|The website I was visiting forced me to disable it to access their content;I wanted to support the website I was visiting by viewing their ads|Somewhat agree|Somewhat agree|Somewhat disagree|Clicked on an online advertisement|1.0|2.0|3.0|5.0|6.0|4.0|7.0|"Artificial intelligence surpassing human intelligence (""the singularity"")"|Algorithms making important decisions|A governmental or other regulatory body|I'm worried about the dangers more than I'm excited about the possibilities.|No|Yes, but only within the company|Upper management at the company/organization|Yes|10 (Very Likely)|Multiple times per day|Yes|Multiple times per day|Yes|No, I have one but it's out of date|5|Yes|Somewhat interested|Very interested|Very interested|Somewhat interested|Very interested|Between 7:01 - 8:00 AM|5 - 8 hours|30 - 59 minutes|1 - 2 times per week||I don't typically exercise|Male|Straight or heterosexual|Bachelor’s degree (BA, BS, B.Eng., etc.)|South Asian|18 - 24 years old|Yes||The survey was too long|Very easy
94702|Yes|No|Netherlands|No|Employed full-time|Bachelor’s degree (BA, BS, B.Eng., etc.)|Web development or web design|20 to 99 employees|Front-end developer|12-14 years|6-8 years|Moderately satisfied|Slightly satisfied|Working in a different or more specialized technical role than the one I'm in now|I am not interested in new job opportunities|Less than a year ago|9.0|8.0|3.0|6.0|2.0|1.0|4.0|5.0|7.0|10.0|1.0|11.0|2.0|7.0|6.0|8.0|10.0|9.0|5.0|4.0|3.0|||||||||||||My job status or other personal status changed|Euros (€)|47000|Yearly|57522.0|EUR|HipChat;Office / productivity suite (Microsoft Office, Google Suite, etc.)|Less than a month|Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow|||Agree|Agree|Disagree|JavaScript;CSS;Bash/Shell|JavaScript;CSS;Bash/Shell||Elasticsearch|Heroku;Firebase|Raspberry Pi|Angular;Node.js;React|Node.js;React|Sublime Text;Visual Studio Code;Xcode|MacOS|2|Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Kanban;Scrum|Git|Multiple times per day|No|||Somewhat agree|Somewhat disagree|Somewhat agree|Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad)|2.0|1.0|4.0|6.0|5.0|7.0|3.0|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|Increasing automation of jobs|The developers or the people creating the AI|I'm excited about the possibilities more than worried about the dangers.|Depends on what it is|Yes, but only within the company|The developer who wrote it|Yes|9|Daily or almost daily|Yes|Less than once per month or monthly|No, I knew that Stack Overflow had a jobs board but have never used or visited it|No, and I don't know what that is||No|Somewhat interested|Not at all interested|A little bit interested|Somewhat interested|Somewhat interested|Between 7:01 - 8:00 AM|9 - 12 hours|30 - 59 minutes|Never||1 - 2 times per week|Male|Straight or heterosexual|Bachelor’s degree (BA, BS, B.Eng., etc.)|White or of European descent|25 - 34 years old|No||The survey was an appropriate length|Somewhat easy
15805|Yes|No|United States|No|Employed full-time|Master’s degree (MA, MS, M.Eng., MBA, etc.)|A natural science (ex. biology, chemistry, physics)|10,000 or more employees|Data or business analyst;Database administrator;Designer|15-17 years|9-11 years|Moderately satisfied|Moderately satisfied|Working in a different or more specialized technical role than the one I'm in now|I’m not actively looking, but I am open to new opportunities|Less than a year ago|10.0|8.0|6.0|3.0|7.0|5.0|1.0|2.0|9.0|4.0|1.0|9.0|3.0|6.0|5.0|2.0|11.0|7.0|8.0|10.0|4.0|1.0|2.0|3.0|4.0|5.0|4.0|2.0|7.0|3.0|1.0|5.0|6.0|My job status or other personal status changed|U.S. dollars ($)|80527|Yearly|80527.0|USD|Facebook;Office / productivity suite (Microsoft Office, Google Suite, etc.)|Three to six months|Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology|||Agree|Agree|Disagree|C++;SQL;HTML;CSS||SQL Server||SharePoint|Salesforce;SharePoint|||Visual Studio|Windows|3||Copying and pasting files to network shares|Never|Yes|No||Somewhat agree|Somewhat agree|Strongly agree|Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising|1.0|5.0|2.0|3.0|6.0|4.0|7.0|Algorithms making important decisions|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|The developers or the people creating the AI|I'm worried about the dangers more than I'm excited about the possibilities.|No|Yes, but only within the company|The developer who wrote it|Yes|10 (Very Likely)|A few times per week|Yes|I have never participated in Q&A on Stack Overflow|No, I didn't know that Stack Overflow had a jobs board|No, and I don't know what that is||Yes|Extremely interested|Somewhat interested|Very interested|Somewhat interested|Extremely interested|Between 5:00 - 6:00 AM|9 - 12 hours|30 - 59 minutes|1 - 2 times per week|Standing desk|3 - 4 times per week|Female|Straight or heterosexual|Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)|Native American, Pacific Islander, or Indigenous Australian;White or of European descent|25 - 34 years old|Yes|Yes|The survey was too long|Somewhat easy
15709|Yes|Yes|Germany|No|Employed full-time|Master’s degree (MA, MS, M.Eng., MBA, etc.)|A social science (ex. anthropology, psychology, political science)|20 to 99 employees|Front-end developer|0-2 years|0-2 years|Extremely satisfied|Extremely satisfied|Doing the same work|I am not interested in new job opportunities|Between 1 and 2 years ago|2.0|9.0|8.0|5.0|1.0|4.0|7.0|6.0|3.0|10.0|1.0|4.0|5.0|7.0|2.0|6.0|11.0|10.0|9.0|3.0|8.0|||||||||||||My job status or other personal status changed|Euros (€)|38000|Yearly|46507.0|EUR|Google Hangouts/Chat;Slack;Trello|Less than a month|Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course|The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology|||Agree|Disagree|Agree|Java;JavaScript;Ruby;SQL;TypeScript;Kotlin;HTML;CSS;Bash/Shell|Go;Java;JavaScript;TypeScript;Kotlin;HTML;CSS;Bash/Shell|MongoDB;MySQL;SQLite|MongoDB;MySQL;SQLite|Heroku;Salesforce|Heroku;Salesforce|Angular|Angular;React|Atom;Sublime Text;Vim;Visual Studio Code|MacOS|3|Agile|Git|Multiple times per day|Yes|Yes|The ad-blocking software was causing display issues on a website;I wanted to support the website I was visiting by viewing their ads|Somewhat agree|Strongly agree|Somewhat disagree|Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising|2.0|3.0|5.0|1.0|4.0|6.0|7.0|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|"Artificial intelligence surpassing human intelligence (""the singularity"")"|Prominent industry leaders|I'm excited about the possibilities more than worried about the dangers.|No|Yes, and publicly|Upper management at the company/organization|Yes|10 (Very Likely)|Multiple times per day|Yes|I have never participated in Q&A on Stack Overflow|Yes|No, I have one but it's out of date|10 (Very Likely)|Yes|Somewhat interested|A little bit interested|Somewhat interested|Somewhat interested|Somewhat interested|Between 7:01 - 8:00 AM|5 - 8 hours|30 - 59 minutes|3 - 4 times per week||Daily or almost every day|Male|Straight or heterosexual|Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)|Middle Eastern;White or of European descent|25 - 34 years old|Yes||The survey was too long|Somewhat easy
94599|Yes|Yes|Switzerland|No|Independent contractor, freelancer, or self-employed|Bachelor’s degree (BA, BS, B.Eng., etc.)|Computer science, computer engineering, or software engineering||Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;Product manager|30 or more years|30 or more years|Extremely satisfied|Extremely satisfied|Doing the same work|I’m not actively looking, but I am open to new opportunities|Between 2 and 4 years ago|10.0|9.0|7.0|2.0|4.0|3.0|5.0|1.0|6.0|8.0|1.0|4.0|8.0|6.0|10.0|7.0|5.0|2.0|9.0|11.0|3.0|3.0|1.0|2.0|5.0|4.0|7.0|5.0|4.0|2.0|3.0|6.0|1.0||Swiss francs|200000|Monthly|1000000.0|CHF|Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)||Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system||To build my professional network|Strongly agree|Neither Agree nor Disagree|Strongly disagree|C#;Java;TypeScript|C#|Amazon DynamoDB||Amazon Echo;Android;Apple Watch or Apple TV;Azure;iOS;Raspberry Pi;Windows Desktop or Server|Amazon Echo;Android;Apple Watch or Apple TV;Azure;iOS;Mac OS;Windows Desktop or Server|Xamarin|Xamarin|Visual Studio;Visual Studio Code|Windows|3|Agile|Git|Multiple times per day|No|||Neither agree nor disagree|Somewhat disagree|Somewhat disagree|Stopped going to a website because of their advertising;Paid to access a website advertisement-free|1.0|4.0|5.0|6.0|7.0|3.0|2.0|||A governmental or other regulatory body|I'm excited about the possibilities more than worried about the dangers.|No|Yes, but only within the company|The developer who wrote it|Yes|10 (Very Likely)|Multiple times per day|Yes|A few times per week|Yes|No, I have one but it's out of date|5|Yes|A little bit interested|Not at all interested|A little bit interested|Somewhat interested|A little bit interested|Before 5:00 AM|9 - 12 hours|30 - 59 minutes|Never||Daily or almost every day|Male|Straight or heterosexual|Bachelor’s degree (BA, BS, B.Eng., etc.)|White or of European descent|45 - 54 years old|Yes||The survey was too long|Somewhat easy
50509|Yes|Yes|Australia|No|Employed full-time|Bachelor’s degree (BA, BS, B.Eng., etc.)|Another engineering discipline (ex. civil, electrical, mechanical)|100 to 499 employees|Back-end developer;DevOps specialist;Full-stack developer|6-8 years|0-2 years|Moderately satisfied|Extremely satisfied|Working as an engineering manager or other functional manager|I’m not actively looking, but I am open to new opportunities|Between 1 and 2 years ago|9.0|8.0|10.0|1.0|4.0|5.0|7.0|2.0|3.0|6.0|2.0|6.0|11.0|3.0|5.0|9.0|4.0|1.0|7.0|10.0|8.0|3.0|1.0|4.0|2.0|5.0|4.0|7.0|1.0|2.0|5.0|6.0|3.0|My job status or other personal status changed|Australian dollars (A$)|85000|Yearly|67977.0|AUD|Confluence;Jira;Slack|Less than a month|Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software|The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system||To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;Because I find it enjoyable|Strongly agree|Agree|Strongly disagree|C;C++;CoffeeScript;Go;Hack;Haskell;JavaScript;PHP;Python;Rust;SQL;TypeScript;HTML;CSS;Bash/Shell|Go;Hack;Haskell;JavaScript;PHP;Python;Rust;SQL;TypeScript;HTML;CSS;Bash/Shell|MongoDB;Redis;PostgreSQL;SQLite;Memcached;Amazon Redshift;Amazon RDS/Aurora;Elasticsearch|Cassandra;MongoDB;Redis;PostgreSQL;SQLite;Amazon DynamoDB;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Elasticsearch|Arduino;AWS;Linux;Mac OS;Raspberry Pi;Salesforce;Serverless|Arduino;AWS;Azure;Linux;Mac OS;Raspberry Pi;Serverless|Angular;Django;Node.js;React;TensorFlow|Angular;Django;Node.js;React;TensorFlow|Atom;PHPStorm;Vim|Linux-based|1|Agile;Kanban;Pair programming;Scrum|Git|Multiple times per day|Yes|Yes|The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website|Somewhat agree|Somewhat disagree|Somewhat agree|Saw an online advertisement and then researched it (without clicking on the ad)|3.0|6.0|5.0|1.0|2.0|4.0|7.0|Algorithms making important decisions|Increasing automation of jobs|The developers or the people creating the AI|I'm excited about the possibilities more than worried about the dangers.|No|Yes, but only within the company|The developer who wrote it|Yes|9|Daily or almost daily|Yes|I have never participated in Q&A on Stack Overflow|Yes|No, and I don't know what that is|9|Yes|Somewhat interested|Not at all interested|Very interested|Very interested|Very interested|Between 6:01 - 7:00 AM|9 - 12 hours|1 - 2 hours|Never||Daily or almost every day|Male|Straight or heterosexual|They never completed any formal education|White or of European descent|18 - 24 years old|No||The survey was too long|Neither easy nor difficult
19617|Yes|No|India|No|Employed full-time|Bachelor’s degree (BA, BS, B.Eng., etc.)|Another engineering discipline (ex. civil, electrical, mechanical)|10 to 19 employees|Designer;Front-end developer|0-2 years|0-2 years|Neither satisfied nor dissatisfied|Neither satisfied nor dissatisfied|Working in a different or more specialized technical role than the one I'm in now|I am actively looking for a job|Less than a year ago||||||||||||||||||||||2.0|3.0|5.0|1.0|4.0||||||||I received negative feedback on my job performance|Indian rupees (₹)||Monthly||INR|Slack|Less than a month|Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system|||Neither Agree nor Disagree|Neither Agree nor Disagree|Neither Agree nor Disagree|JavaScript;Matlab;HTML;CSS;Bash/Shell|C;Python;TypeScript||MongoDB|AWS|AWS|Angular|Angular;Node.js;React;TensorFlow|Sublime Text;Visual Studio Code|MacOS|2|Scrum|Git|Multiple times per day|I'm not sure/I don't know|||Neither agree nor disagree|Neither agree nor disagree|Neither agree nor disagree|Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising|6.0|5.0|1.0|4.0|7.0|2.0|3.0|"Artificial intelligence surpassing human intelligence (""the singularity"")"|"Artificial intelligence surpassing human intelligence (""the singularity"")"|The developers or the people creating the AI|I'm excited about the possibilities more than worried about the dangers.|Depends on what it is|Depends on what it is|Upper management at the company/organization|Unsure / I don't know|10 (Very Likely)|Multiple times per day|Yes|I have never participated in Q&A on Stack Overflow|No, I knew that Stack Overflow had a jobs board but have never used or visited it|No, I know what it is but I don't have one||Yes|Extremely interested|Extremely interested|Extremely interested|Extremely interested|Extremely interested|Between 8:01 - 9:00 AM|9 - 12 hours|1 - 2 hours|3 - 4 times per week||1 - 2 times per week|Male|Straight or heterosexual|Bachelor’s degree (BA, BS, B.Eng., etc.)||18 - 24 years old|No||The survey was too long|Neither easy nor difficult
