tnum,tweet,existence
3229,RT @TIME: Another blizzard: What happened to global warming? | http://su.pr/1pjKIT &gt; LOL! Ask Al Gore!!,N
4263,Another crooked scientist in global warming scam.http://tinyurl.com/yf89oyf Where's the US media? It's only a (cont) http://tl.gd/7t756,N
168,Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link],Y
4708,D.C. Snowstorm: How Global Warming Makes Blizzards Worse http://bit.ly/aMGM77,Y
3766,[@ClimateProgress] Energy and Global Warming News for February 5: How activists took on oil companies; Calif. regul... http://ow.ly/16vxYn,Y
5512,"Markey presses coal CEOs on climate change denialism, future of the industry i.. http://retwt.me/1MRC7 (via @NewsOnGreen)",Y
475,Glacial Melt From Global Warming Could Unplug Volcanos: Earthweek - A Diary of the Planet Eruptions of glacial vol... [link],Y
369,Climate Change - 100 Endangered Places and How to Save Them - Newsweek [link],Y
1440,Report Claims Climate Change Is To Blame For Increase Of Allergies http://bit.ly/bG1dIR,Y
1346,"2/3rds of Tbaggers don't think climate change is a serious problem. As I said, they're ignorant.",Y
5867,The good news about the very bad news (about climate change) http://su.pr/1fG7eV,Y
4953,RT @yidwithlid: The IPCC's Latest Climate Change Blunder...To Boldly Go Where No Stupidity Has Gone Before. http://tinyurl.com/yhsp6tv #climategate  #nobama,N
4594,talking to @arthuRyanB about the crappy world we live in. Hahaha. I think it's just because of global warming though :|,Y
1306,RT @TEDNews: Larry Brilliant at #tedxvolcano: Climate change is exacerbating all other crises of our age. But climate science is now under attack.,Y
533,"@ClimateWise2 is here tonight at 7:30 to discuss what climate change is doing to women, children, families & communities [link]",Y
1269,RT @NWF: New York City's new waterfront plan will take climate change into consideration: http://bit.ly/9ASqdR,Y
127,RT @Newsweek: Global Warming Kills Forests In Colorado [link],Y
2324,The Third International Water Fair: Global People's Conference On Climate Change And The Rights ... http://bit.ly/bebgDe by @indigenousissue,Y
5146,"Global warming in the hot seat|By Keith Yost STAFF COLUMNIST In November 2009, hackers released of thousands of .. http://oohja.com/x6qsA",N
1412,Got Allergies? -- By: Jonah Goldberg: Blame global warming. From Time magazine: Allergies Worse Than Ever? Blame ... http://bit.ly/94D2xv,Y
1312,"Climate Change & Volcanic Activity: ""Ice Cap Thaw May Awaken Icelandic Volcanoes http://twurl.nl/f0aqb3",Y
1219,RT @greenforyou: Treating Climate Change as a Curable Disease | Wired Science | Wired.com #green http://bit.ly/bPm7kx #ESG #sustainability,Y
1417,DC: *FT Work for Greenpeace to STOP GLOBAL WARMING - $12-$13/hr*:Get Involved! Call now 202-595-3368 Greenpeace... http://bit.ly/9m44EJ,Y
681,"Someone go tell the Climate Change crowd to go hang, after they read this: [link]",N
5543,Allergies really bad this season? You should blame Global Warming - http://bit.ly/c7z75N [via @TIME],Y
368,Climate Change Continues To Melt Glacier National Park's Icons | National P.. [link],Y
630,Porous materials to reduce the climate change [link],Y
558,Global WarmingÀ_s Eyjafjoell Volcano Triggers More Global Warming: [link],Y
5182,RT @vcnaa: RT @ru2cool2care: New vid on Climate Change & Indigenous Peoples!! http://is.gd/7HOam by @dakotarene @redman0380 Robby Romero,Y
5017,RT @Ki6AMD RT @adamcurry: LOL - If Global Warming is Real Then Why is it Cold? http://ifglobalwarmingisrealthenwhyisitcold.blogspot.com/,N
3409,"Clearly the #snowmageddon is disproving global warming RT @JimDeMint It's going to keep snowing in DC until Al Gore cries ""uncle""",N
4619,We got about 14 inches of snow thus far in Panther Valley (30 min from Poconos)..much more to come yet..as for global warming ---&gt; Hum Bug !,N
4034,Ocean Acidification: A Hidden Risk of Global Warming http://bit.ly/drr5Xm,Y
5002,@peterdaou Who are the 'political elites'? Editors of the Times shilling for Bush on Iraqi WMD? Members of Congress denying climate change?,Y
2862,Stop Global Warming; Stop Cutting Down the Trees and Plant More ... ! http://bit.ly/chYuwU climate change,Y
2650,NYT: Brilliant and comprehensive article on climate change economics by Paul Krugman: http://nyti.ms/cUy4y8,Y
3582,RT @newtgingrich: Historic snow storm in washington-third this year-where is al gore to explain it snows this heavily as a sign global warming is imminent,N
3884,"20"" of snow? Ok that's it, everyone go buy all the aerosols you can, go outside and start spraying. I'm now cheering on global warming.",N
6007,29 Graphs of Climate Change Science in One Place | Alternative ... http://bit.ly/defx2I,Y
4888,There is No Man Made Climate Crisis (Global Warming is a Hoax)  environmentalists ;P,N
3329,EdDriscoll: RT @robport: Time to admit it. Climate change is a conservative conspiracy to keep' http://goo.gl/fb/YTii,N
5101,Important video to watch - Laurie Davids Green Guide to Stop Global Warming http://bit.ly/5xA0tB #globalwarning #green #eco #climatechange,Y
1500,"Conservation International:: Give a gift that helps prevent climate change, provides habitat for endangered specie... http://bit.ly/dcuSyT",Y
4796,"Or how about ""going to keep snowing in DC until @JimDeMint admits global climate change is real?"" @IMGoph @DC_Updates?",Y
6023,Study on climate change law cites 5 local refineries for negative health effects http://bit.ly/9yVwHz,Y
1281,[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse http://bit.ly/9c04zs,Y
397,Take Action @change: Help Protect Wildlife Habitat from Climate Change [link],Y
3096,"""Forests are growing faster, ecologists discover; Climate change appears to be driving accelerated growth"" ( http://bit.ly/afk8yz )",Y
5527,RT @MichaelLemonick: Why climate change will be good for makers of anti-allergy meds: http://tinyurl.com/y2zhsve,Y
4030,The Audi green police will play right into all the crazy fears of the right wing global warming deniers.,Y
5719,RT @sigsforyou: RT @hrhsar: Glacier triggers tsunami this will cause worse than global warming the East coast will be http://tl.gd/s8rd6,Y
4978,It Seems The Global Warming Hoax Is Starting To Sink In.  What Will Th,N
2885,Water at core of climate change impacts - U.N. experts - Yahoo! News http://retwt.me/1LVBf (via @climatenews),Y
5803,Environmental Monitoring - National Instruments: With the increased focus on the effects of climate change on the ... http://bit.ly/9Y8rSQ,Y
242,URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],Y
534,Baby boomers must tackle global warming while they can: By Anonymous Baby boomers have enjoyed peace and the large... [link],Y
307,RT @Newsweek: Climate Change: Places To See Before They DisappearÀ_The Americas (Photos) [link],Y
2987,"RT @joelcomm: The Great Global-Warming Collapse - http://TwitPWR.com/Dev/  (good.. can we now get back to reality?) &lt;&lt; The ""settled science""",N
243,Carbon offsets: How a Vatican forest failed to reduce global warming [link],Y
3654,"RT @dcexaminer: More on why bogus ""global warming consensus"" is fading fast http://goo.gl/fb/TOWc",N
110,"RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link]",Y
5475,Bolivia climate change talks to give poor a voice | Humanitarian News http://retwt.me/1MSLG (via @HumanityNews),Y
4051,"Al Gore preached his climate change, he wanted us all to CARE, but after all was said & done, the evidence wasn't THERE #libpoems #tcot #sgp",N
5570,Global Warming: Next Chapter http://bit.ly/aV0LDf #globalwarming,Y
409,Climate change and Why Your Allergies Are Getting Worse [link],Y
382,Take Action @change: Help Protect Wildlife Habitat from Climate Change [link],Y
5838,Well this is awful news. Could be it for climate change legislation for the near future. We all need to swamp Sens.... http://bit.ly/cEVLMR,Y
3309,This is a talk that needs to happen! RT @Drudge_Report: TIME MAG:  How Global Warming Makes Blizzards Worse... http://drudge.tw/9oXiLZ,Y
4145,The Reference Frame: Global warming causes snowstorm in D.C.  http://bit.ly/4Bvajw,Y
1652,"BOYCOTT SIEMENS for buying ""global warming""/""climate change"" in their advertisements. #tcot #sgp #teaparty",N
408,Got Allergies? -- By: Jonah Goldberg: Blame global warming. From Time magazine: Allergies Worse Than Ever? Blame ... [link],Y
1175,MediaGlobal report on special Tipping Point Earth Day event: Science and art mobilize to fight climate change http://shar.es/m7N1X,Y
1497,"Study: Climate Change Threatens Your Health, Too http://bit.ly/cbSUb5",Y
5134,"Pachauri insists science behind global warming remains 'totally valid'|New Delhi, Feb 5: UN Inter-Governmental .. http://oohja.com/x6rHz",Y
277,"Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... [link]",Y
2588,@M_Ignatieff This Wednesday make sure all Liberal MPs vote to pass #ndp climate change bill,Y
1564,"Since Man can't, Mother Nature to end global warming with volcanoes & earthquakes. #Hekla #Icelandic",Y
2708,Chaotic climate threatens food security|VietNamNet Bridge ? Worsening impacts of climate change including intense .. http://oohja.com/xc5vR,Y
2940,You and Us and Me - Olympics organisers desperate for climate change http://retwt.me/1LUK2 (via @NewsOnGreen),Y
303,"Larry Brilliant at #TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socmedia @enviro",Y
4471,@beardlace ps it annoys me when survivalist types don't believe in global warming. Don't they know it'd be a great excuse for this stuff?,Y
